Title,Document Name,Ark Identifier,July,August,September,Total
"David Pierpont Gardner presidential records",uum_acc0387.xml,80444/xv76718,11,6,9,26
"William Fotheringham papers",uum_accn1095.xml,80444/xv11209,13,10,3,26
"Kennecott Copper Corporation records",uum_accn1440.xml,80444/xv19515,7,13,6,26
"Ahmed Zaki Abu Shadi papers",uum_accn2546.xml,80444/xv19583,3,8,15,26
"Jane Ballantyne Taylor diary",uum_accn2593.xml,80444/xv18972,8,11,7,26
"Joanna Brooks papers",uum_accn2294.xml,80444/xv93673,4,2,20,26
"Navajo Oral Histories",uum_accn0941.xml,80444/xv39630,9,11,6,26
"James Holt papers",uum_ms0412.xml,80444/xv51559,9,17,0,26
"Sandra Tanner oral history interviews",uum_ms0413.xml,80444/xv59191,10,9,7,26
"Brewster Ghiselin papers",uum_ms0528.xml,80444/xv46340,7,6,12,25
"Scott H. Faulring papers",uum_accn2316.xml,80444/xv56411,10,7,8,25
"Alice "Pat" Rice Capson Brown papers",uum_accn2777.xml,80444/xv70059,8,7,10,25
"Edwin Brown Firmage audio-visual collection",uum_a0427.xml,80444/xv73114,14,3,8,25
"Guide to the DeVed-Thorne Studio negative collection",uum_p0272.xml,80444/xv92703,3,10,12,25
"Vesta Pierce Crawrford papers",uum_ms0125.xml,80444/xv23171,8,10,7,25
"Zeke Johnson papers",uum_ms0511.xml,80444/xv89846,6,13,6,25
"Jackie Nokes papers",uum_accn1970.xml,80444/xv71029,8,12,5,25
"Matthew Frederick and Claire Wilcox Noall papers",uum_ms0188.xml,80444/xv00375,9,11,5,25
"Ramiro Cortes papers",uum_ms0513.xml,80444/xv65618,8,2,15,25
"Arthur Lawton Beeley papers",uum_acc0188.xml,80444/xv69985,6,13,6,25
"Sumner G. Margetts and Company records",uum_accn1295.xml,80444/xv26593,6,14,4,24
"Harry Longabaugh Jr. papers",uum_ms0025.xml,80444/xv14639,13,3,8,24
"Philosophical Issues in Human Affairs telecourses video collection",uum_a0212.xml,80444/xv10440,5,6,13,24
"Edna Clark Ericksen oral history audio recordings",uum_a0339.xml,80444/xv67434,3,10,11,24
"Alfred Lambourne papers",uum_ms0462.xml,80444/xv44116,8,10,6,24
"Ben E. Rich Southern States Mission scrapbook",uum_accn0038.xml,80444/xv68984,17,1,6,24
"Utah Ski Archives miscellaneous videos",uum_a0323.xml,80444/xv26092,11,6,7,24
"Leo Leonard papers",uum_accn1559.xml,80444/xv24349,6,7,11,24
"Llewelyn R. McKay papers",uum_accn1692.xml,80444/xv61392,14,2,8,24
"Stanley D. Lyman papers",uum_ms0181.xml,80444/xv73583,5,5,13,23
"James A. Hogle papers",uum_accn0388.xml,80444/xv44161,5,7,11,23
"Levi Edgar Young papers",uum_ms0531.xml,80444/xv77416,14,3,6,23
"Ronald M. Smelser papers",uum_accn2374.xml,80444/xv00042,8,2,13,23
"T. Benny Rushing papers",uum_acc0497.xml,80444/xv86868,0,18,5,23
"Lyle Nelson video collection",uum_a1098.xml,80444/xv65899,2,15,6,23
"Ken Sleight river running video collection",uum_a1105.xml,80444/xv59735,15,2,6,23
"Roy Gibson photograph collection",uum_p0358.xml,80444/xv06295,8,7,8,23
"University of Utah Graduate School records",uum_acc0514.xml,80444/xv41207,10,5,8,23
"Richard K. A. Kletting drawings",uum_ms0498.xml,80444/xv71798,8,4,11,23
"Alan K. Engen ski video collection",uum_a0402.xml,80444/xv01519,11,5,7,23
"Ezra T. Clark family papers",uum_accn1528.xml,80444/xv51809,13,5,5,23
"Stephen Gary Erickson papers",uum_accn1961.xml,80444/xv51055,15,4,4,23
"Nelson Higgins papers",uum_accn2774.xml,80444/xv36486,15,7,1,23
"Charles Eggert papers",uum_accn1659.xml,80444/xv77142,14,4,5,23
"E. Richard Hart audio-visual collection",uum_a0377.xml,80444/xv41003,9,8,6,23
"Gibbons and Reed Company records",uum_ms0351.xml,80444/xv12341,8,8,6,22
"Nephi L. Morris papers",uum_ms0097.xml,80444/xv77902,2,5,15,22
