Title,Document Name,Ark Identifier,July,August,September,Total
"Kleinholz (George) collection of Bonus Expeditionary Force ephemera and artifacts",oru_a158.xml,80444/xv51226,2,0,5,7
"Brownsville, Oregon town council records",oru_b099.xml,80444/xv41729,5,2,0,7
"Letter In Memory of William M. Turner",oru_cbt859.xml,80444/xv81292,3,1,3,7
"Johnson (H.) Journal",oru_sfm067.xml,80444/xv57122,0,2,5,7
"Nicklin (John H.) Letter",oru_ca1851feb25.xml,80444/xv38663,5,2,0,7
"Norblad (Albin Walter) papers",oru_ax680.xml,80444/xv84472,1,3,3,7
"Drake (June D.) and Drake Brothers Photographs",oru_ph031.xml,80444/xv40798,0,0,7,7
"Baker (Della M.) Reminiscences",oru_cbb172.xml,80444/xv09591,0,3,4,7
"Shelton (Albert L.) papers",oru_coll053.xml,80444/xv63622,2,2,3,7
"Wagner (Jacob) legislative correspondence",oru_a182.xml,80444/xv37493,3,4,0,7
"Mazamas records",oru_coll403.xml,80444/xv20092,7,0,0,7
"Handsaker (Samuel) papers",oru_cbh192a.xml,80444/xv56329,6,1,0,7
"Trimble (Jacquelyn) papers",oru_ax669.xml,80444/xv17306,3,3,0,6
"Duniway (Abigail Scott) letter to Barbara M. Booth",oru_ca1914apr11.xml,80444/xv61572,3,0,3,6
"James (Cheryl D.) Defense Committee papers",oru_a307.xml,80444/xv03488,5,0,1,6
"Schaper (Edward A.) Papers",oru_coll218.xml,80444/xv15751,1,3,2,6
"Watt (Ahio Scott) reminiscences",oru_cbw34.xml,80444/xv24334,0,2,4,6
"Parkyn (Herbert) letters to Robert M. Brereton",oru_ca1907jan11.xml,80444/xv92236,3,2,1,6
"Mills (Abbot Low Jr.) papers",oru_ax205.xml,80444/xv84844,5,1,0,6
"Cauthorn (James D.) Journal",oru_a017.xml,80444/xv25634,5,1,0,6
"Chublarian (Rouben) Papers",oru_coll130.xml,80444/xv04118,1,2,3,6
"University of Oregon Basketball Exhibition Tour of the Far East records",oru_ua202.xml,80444/xv88018,6,0,0,6
"Applegate (Alex M.) diary",oru_a004.xml,80444/xv05322,2,1,3,6
"Taylor (Albert M.) papers",oru_ax716.xml,80444/xv62939,4,2,0,6
"Mitchell (John Hipple) letter",oru_ca1893jan31.xml,80444/xv30133,2,3,1,6
"Office of the President: Victor Pierpont Morris (acting) and O. Meredith Wilson records",oru_ua001_009.xml,80444/xv55895,0,0,6,6
"Bend Publishing Co. records",oru_b012.xml,80444/xv22857,0,0,6,6
"University Library Committee records",oru_ua214.xml,80444/xv74948,0,0,6,6
"Ankeny (Levi) letter to Joseph N. Teal",oru_ca1904july15.xml,80444/xv34384,5,0,1,6
